date,value
27-03-2014,1763.29
30-03-2014,1700.73
31-03-2014,1611.22
01-04-2014,1605.65
02-04-2014,1603.8
03-04-2014,1627.49
06-04-2014,1595.48
07-04-2014,1413.37
08-04-2014,1476.88
09-04-2014,1395.19
10-04-2014,1402.58
13-04-2014,1450.73
14-04-2014,1474.28
15-04-2014,1437.36
16-04-2014,1492.56
21-04-2014,1520.58
22-04-2014,1516.76
23-04-2014,1490.86
24-04-2014,1492.38
27-04-2014,1411.74
28-04-2014,1371.41
29-04-2014,1447.56
30-04-2014,1478.64
01-05-2014,1524.96
05-05-2014,1454.42
06-05-2014,1413.67
07-05-2014,1421.43
08-05-2014,1389.95
11-05-2014,1389.66
12-05-2014,1415.19
13-05-2014,1511.27
14-05-2014,1487.91
15-05-2014,1484.35
18-05-2014,1489.62
19-05-2014,1358.98
20-05-2014,1298.89
21-05-2014,1293.69
22-05-2014,1374.34
26-05-2014,1364.29
27-05-2014,1280.67
28-05-2014,1269.0
29-05-2014,1284.68
01-06-2014,1326.31
02-06-2014,1388.75
03-06-2014,1379.98
04-06-2014,1346.78
05-06-2014,1344.44
08-06-2014,1368.41
09-06-2014,1356.63
10-06-2014,1303.42
11-06-2014,1259.3
12-06-2014,1216.01
15-06-2014,1216.31
16-06-2014,1265.52
17-06-2014,1277.93
18-06-2014,1243.44
19-06-2014,1242.73
22-06-2014,1227.29
23-06-2014,1198.5
24-06-2014,1169.21
25-06-2014,1203.04
26-06-2014,1299.46
29-06-2014,1369.53
30-06-2014,1303.71
01-07-2014,1309.61
02-07-2014,1310.79
03-07-2014,1314.64
06-07-2014,1304.17
07-07-2014,1233.13
08-07-2014,1173.43
09-07-2014,1145.87
10-07-2014,1176.2
13-07-2014,1177.64
14-07-2014,1141.63
15-07-2014,1073.53
16-07-2014,1128.89
17-07-2014,1165.59
20-07-2014,1145.11
21-07-2014,1176.67
22-07-2014,1201.21
23-07-2014,1212.67
24-07-2014,1243.89
27-07-2014,1280.39
28-07-2014,1294.61
29-07-2014,1271.34
30-07-2014,1258.27
31-07-2014,1248.59
03-08-2014,1238.79
04-08-2014,1262.59
05-08-2014,1255.61
06-08-2014,1269.34
07-08-2014,1308.05
10-08-2014,1372.79
11-08-2014,1464.87
12-08-2014,1512.53
13-08-2014,1668.26
14-08-2014,1725.27
17-08-2014,1637.25
18-08-2014,1603.11
19-08-2014,1754.22
20-08-2014,1691.7
21-08-2014,1709.11
25-08-2014,1675.32
26-08-2014,1774.12
27-08-2014,1795.42
28-08-2014,1743.58
31-08-2014,1732.6
01-09-2014,1720.49
02-09-2014,1678.66
03-09-2014,1709.99
04-09-2014,1764.5
07-09-2014,1741.62
08-09-2014,1755.58
09-09-2014,1704.24
10-09-2014,1654.04
11-09-2014,1631.42
14-09-2014,1589.06
15-09-2014,1510.84
16-09-2014,1519.65
17-09-2014,1497.09
18-09-2014,1515.61
21-09-2014,1529.79
22-09-2014,1469.9
23-09-2014,1387.11
24-09-2014,1371.79
25-09-2014,1393.22
28-09-2014,1399.81
29-09-2014,1325.93
30-09-2014,1319.7
01-10-2014,1279.62
02-10-2014,1263.83
05-10-2014,1256.56
06-10-2014,1169.59
07-10-2014,1113.32
08-10-2014,1121.62
09-10-2014,1129.49
12-10-2014,1115.98
13-10-2014,1043.79
14-10-2014,1062.16
15-10-2014,1077.59
16-10-2014,1158.26
19-10-2014,1284.94
20-10-2014,1350.68
21-10-2014,1337.07
22-10-2014,1296.41
23-10-2014,1410.88
26-10-2014,1508.34
27-10-2014,1549.88
28-10-2014,1485.8
29-10-2014,1400.41
30-10-2014,1554.43
02-11-2014,1560.25
03-11-2014,1458.82
04-11-2014,1360.2
05-11-2014,1418.19
06-11-2014,1376.34
09-11-2014,1305.47
10-11-2014,1257.76
11-11-2014,1233.99
12-11-2014,1177.19
13-11-2014,1194.11
16-11-2014,1240.19
17-11-2014,1235.12
18-11-2014,1223.23
19-11-2014,1203.21
20-11-2014,1181.06
